number,value,params,state,user_attrs
44,1.563120093583779,"{'volatility_lookback_days': 189, 'vol_percentile_low': 25, 'leverage': 1.25, 'smoothing_lambda': 0.2}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.123859026477106, 'stability_Sortino_CV': 0.718984440856636, 'stability_Sortino_Worst_10pct': 0.65707676763482, 'stability_Sortino_Consistency_Ratio': 1.0}}"
45,1.563120093583779,"{'volatility_lookback_days': 189, 'vol_percentile_low': 25, 'leverage': 1.25, 'smoothing_lambda': 0.2}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.123859026477106, 'stability_Sortino_CV': 0.718984440856636, 'stability_Sortino_Worst_10pct': 0.65707676763482, 'stability_Sortino_Consistency_Ratio': 1.0}}"
46,1.563120093583779,"{'volatility_lookback_days': 189, 'vol_percentile_low': 25, 'leverage': 1.25, 'smoothing_lambda': 0.2}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.123859026477106, 'stability_Sortino_CV': 0.718984440856636, 'stability_Sortino_Worst_10pct': 0.65707676763482, 'stability_Sortino_Consistency_Ratio': 1.0}}"
47,1.6513856464084937,"{'volatility_lookback_days': 252, 'vol_percentile_low': 30, 'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
48,1.6513856464084937,"{'volatility_lookback_days': 252, 'vol_percentile_low': 30, 'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
49,1.6513856464084937,"{'volatility_lookback_days': 252, 'vol_percentile_low': 30, 'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
50,1.6513856464084937,"{'volatility_lookback_days': 252, 'vol_percentile_low': 30, 'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
51,1.6513856464084937,"{'volatility_lookback_days': 252, 'vol_percentile_low': 30, 'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
52,1.6513856464084937,"{'volatility_lookback_days': 252, 'vol_percentile_low': 30, 'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
53,1.647298950650041,"{'leverage': 2.0, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179865721810159, 'stability_Sortino_CV': 0.7162426233226045, 'stability_Sortino_Worst_10pct': 0.7830092119756323, 'stability_Sortino_Consistency_Ratio': 1.0}}"
54,1.647298950650041,"{'leverage': 2.0, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179865721810159, 'stability_Sortino_CV': 0.7162426233226045, 'stability_Sortino_Worst_10pct': 0.7830092119756323, 'stability_Sortino_Consistency_Ratio': 1.0}}"
55,1.6472179450095754,"{'leverage': 1.5, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1799121423109158, 'stability_Sortino_CV': 0.716306027314471, 'stability_Sortino_Worst_10pct': 0.7828472006826928, 'stability_Sortino_Consistency_Ratio': 1.0}}"
56,1.647298950650041,"{'leverage': 2.0, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179865721810159, 'stability_Sortino_CV': 0.7162426233226045, 'stability_Sortino_Worst_10pct': 0.7830092119756323, 'stability_Sortino_Consistency_Ratio': 1.0}}"
57,1.647298950650041,"{'leverage': 2.0, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179865721810159, 'stability_Sortino_CV': 0.7162426233226045, 'stability_Sortino_Worst_10pct': 0.7830092119756323, 'stability_Sortino_Consistency_Ratio': 1.0}}"
58,1.647298950650041,"{'leverage': 2.0, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179865721810159, 'stability_Sortino_CV': 0.7162426233226045, 'stability_Sortino_Worst_10pct': 0.7830092119756323, 'stability_Sortino_Consistency_Ratio': 1.0}}"
59,1.6472584893686684,"{'leverage': 1.75, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179888905704149, 'stability_Sortino_CV': 0.7162742904766305, 'stability_Sortino_Worst_10pct': 0.7829282894068821, 'stability_Sortino_Consistency_Ratio': 1.0}}"
60,1.647298950650041,"{'leverage': 2.0, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.179865721810159, 'stability_Sortino_CV': 0.7162426233226045, 'stability_Sortino_Worst_10pct': 0.7830092119756323, 'stability_Sortino_Consistency_Ratio': 1.0}}"
61,1.6472179450095754,"{'leverage': 1.5, 'smoothing_lambda': 0.5}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1799121423109158, 'stability_Sortino_CV': 0.716306027314471, 'stability_Sortino_Worst_10pct': 0.7828472006826928, 'stability_Sortino_Consistency_Ratio': 1.0}}"
62,1.6513856464084937,"{'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
63,1.6513856464084937,"{'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
64,1.6513856464084937,"{'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
65,1.6513856464084937,"{'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
66,1.6513856464084937,"{'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
67,1.6513856464084937,"{'leverage': 1.0, 'smoothing_lambda': 0.30000000000000004}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 1.1964974909167223, 'stability_Sortino_CV': 0.7245415348734063, 'stability_Sortino_Worst_10pct': 0.7765297882271689, 'stability_Sortino_Consistency_Ratio': 1.0}}"
